snapped_at,volume
2022-05-01 13:50:00 +0000,17170555904.55178432142909521683201462
2022-05-02 13:50:00 +0000,13876037942.47772168272890772904568716
2022-05-03 13:50:00 +0000,13353732926.8260742732521636982393016
2022-05-04 13:50:00 +0000,14371560441.83738241956944250105006689
2022-05-05 13:50:00 +0000,16632976531.06922465562370188717364518
2022-05-06 13:50:00 +0000,24455068738.0173568244025060857667118
2022-05-07 13:50:00 +0000,13308687330.48090158832753012080847794
2022-05-08 13:50:00 +0000,16945305960.76939594988256415020228381
2022-05-09 13:50:00 +0000,21079634478.3352388470610723187372624
2022-05-10 13:50:00 +0000,44943791515.39588407950813035274010995
2022-05-11 13:50:00 +0000,42665613068.1116326340882239246670993
2022-05-12 13:50:00 +0000,57378001934.00453284661100690304695474
2022-05-13 13:50:00 +0000,27110304018.404542115783297601563566
2022-05-14 13:50:00 +0000,22474713690.29068439893696144815017296
2022-05-15 13:50:00 +0000,16542440757.803438726842182454221681
2022-05-16 13:50:00 +0000,16877929502.65922824583033821172921625
2022-05-17 13:50:00 +0000,14985127096.99042748804707386865968694
2022-05-18 13:50:00 +0000,14208933846.01271765377476655687980488
2022-05-19 13:50:00 +0000,15579387415.2687413065026926444681906
2022-05-20 13:50:00 +0000,13969185628.01054345702835817090157088
2022-05-21 13:50:00 +0000,10210530730.9449120453393135124320108
