price,date,exchange,source
2774.29000000,2021-05-21 02:00:00,Binance,API
2802.54000000,2021-05-21 02:01:00,Binance,API
2821.76000000,2021-05-21 02:02:00,Binance,API
2812.38000000,2021-05-21 02:03:00,Binance,API
2810.08000000,2021-05-21 02:04:00,Binance,API
2800.49000000,2021-05-21 02:05:00,Binance,API
2796.42000000,2021-05-21 02:06:00,Binance,API
2806.44000000,2021-05-21 02:07:00,Binance,API
2803.83000000,2021-05-21 02:08:00,Binance,API
2805.25000000,2021-05-21 02:09:00,Binance,API
2807.88000000,2021-05-21 02:10:00,Binance,API
2815.64000000,2021-05-21 02:11:00,Binance,API
2814.05000000,2021-05-21 02:12:00,Binance,API
2817.14000000,2021-05-21 02:13:00,Binance,API
2820.00000000,2021-05-21 02:14:00,Binance,API
2810.01000000,2021-05-21 02:15:00,Binance,API
2803.50000000,2021-05-21 02:16:00,Binance,API
2799.19000000,2021-05-21 02:17:00,Binance,API
2822.60000000,2021-05-21 02:18:00,Binance,API
2818.32000000,2021-05-21 02:19:00,Binance,API
2809.25000000,2021-05-21 02:20:00,Binance,API
2814.78000000,2021-05-21 02:21:00,Binance,API
2811.18000000,2021-05-21 02:22:00,Binance,API
2817.26000000,2021-05-21 02:23:00,Binance,API
2826.52000000,2021-05-21 02:24:00,Binance,API
2823.15000000,2021-05-21 02:25:00,Binance,API
2820.39000000,2021-05-21 02:26:00,Binance,API
2825.75000000,2021-05-21 02:27:00,Binance,API
2827.89000000,2021-05-21 02:28:00,Binance,API
2823.00000000,2021-05-21 02:29:00,Binance,API
2846.01000000,2021-05-21 02:30:00,Binance,API
2848.25000000,2021-05-21 02:31:00,Binance,API
2855.67000000,2021-05-21 02:32:00,Binance,API
2850.81000000,2021-05-21 02:33:00,Binance,API
2844.70000000,2021-05-21 02:34:00,Binance,API
2839.21000000,2021-05-21 02:35:00,Binance,API
2845.34000000,2021-05-21 02:36:00,Binance,API
2848.09000000,2021-05-21 02:37:00,Binance,API
2857.22000000,2021-05-21 02:38:00,Binance,API
2854.31000000,2021-05-21 02:39:00,Binance,API
2849.00000000,2021-05-21 02:40:00,Binance,API
2898.01000000,2021-05-21 02:41:00,Binance,API
2901.20000000,2021-05-21 02:42:00,Binance,API
2916.30000000,2021-05-21 02:43:00,Binance,API
2909.84000000,2021-05-21 02:44:00,Binance,API
2909.46000000,2021-05-21 02:45:00,Binance,API
2894.01000000,2021-05-21 02:46:00,Binance,API
2890.59000000,2021-05-21 02:47:00,Binance,API
2890.19000000,2021-05-21 02:48:00,Binance,API
2891.26000000,2021-05-21 02:49:00,Binance,API
2884.93000000,2021-05-21 02:50:00,Binance,API
2900.18000000,2021-05-21 02:51:00,Binance,API
2894.50000000,2021-05-21 02:52:00,Binance,API
2901.18000000,2021-05-21 02:53:00,Binance,API
2908.93000000,2021-05-21 02:54:00,Binance,API
2901.31000000,2021-05-21 02:55:00,Binance,API
2918.12000000,2021-05-21 02:56:00,Binance,API
2907.94000000,2021-05-21 02:57:00,Binance,API
2904.42000000,2021-05-21 02:58:00,Binance,API
2903.92000000,2021-05-21 02:59:00,Binance,API
2900.93000000,2021-05-21 03:00:00,Binance,API
2896.73000000,2021-05-21 03:01:00,Binance,API
2894.35000000,2021-05-21 03:02:00,Binance,API
2895.01000000,2021-05-21 03:03:00,Binance,API
2895.66000000,2021-05-21 03:04:00,Binance,API
2889.18000000,2021-05-21 03:05:00,Binance,API
2886.59000000,2021-05-21 03:06:00,Binance,API
2892.44000000,2021-05-21 03:07:00,Binance,API
2897.42000000,2021-05-21 03:08:00,Binance,API
2905.75000000,2021-05-21 03:09:00,Binance,API
2905.12000000,2021-05-21 03:10:00,Binance,API
2896.86000000,2021-05-21 03:11:00,Binance,API
2904.35000000,2021-05-21 03:12:00,Binance,API
2904.64000000,2021-05-21 03:13:00,Binance,API
2900.94000000,2021-05-21 03:14:00,Binance,API
2885.15000000,2021-05-21 03:15:00,Binance,API
2885.42000000,2021-05-21 03:16:00,Binance,API
2896.71000000,2021-05-21 03:17:00,Binance,API
2900.54000000,2021-05-21 03:18:00,Binance,API
2895.95000000,2021-05-21 03:19:00,Binance,API
2887.83000000,2021-05-21 03:20:00,Binance,API
2887.30000000,2021-05-21 03:21:00,Binance,API
2894.06000000,2021-05-21 03:22:00,Binance,API
2898.54000000,2021-05-21 03:23:00,Binance,API
2898.53000000,2021-05-21 03:24:00,Binance,API
2902.58000000,2021-05-21 03:25:00,Binance,API
2904.58000000,2021-05-21 03:26:00,Binance,API
2899.86000000,2021-05-21 03:27:00,Binance,API
