
price,date,exchange,type
2042.72,2022-05-23 07:00:12.840334+00:00,Pancakeswap,scraper
2055.47,2022-05-23 07:00:25.668510+00:00,Uniswap,scraper
2056.91,2022-05-23 07:01:58.753116+00:00,Uniswap,scraper
2042.72,2022-05-23 07:02:15.138773+00:00,Pancakeswap,scraper
2056.89,2022-05-23 07:02:18.769670+00:00,Uniswap,scraper
2042.72,2022-05-23 07:02:25.154250+00:00,Pancakeswap,scraper
2042.72,2022-05-23 07:02:35.170489+00:00,Pancakeswap,scraper
2056.89,2022-05-23 07:02:38.784972+00:00,Uniswap,scraper
2042.72,2022-05-23 07:02:45.186908+00:00,Pancakeswap,scraper
2042.72,2022-05-23 07:02:55.208111+00:00,Pancakeswap,scraper
2056.89,2022-05-23 07:02:58.807395+00:00,Uniswap,scraper
2046.42,2022-05-23 07:03:05.224479+00:00,Pancakeswap,scraper
2046.36,2022-05-23 07:03:15.243649+00:00,Pancakeswap,scraper
2056.19,2022-05-23 07:03:18.826064+00:00,Uniswap,scraper
2038.98,2022-05-23 07:03:25.261756+00:00,Pancakeswap,scraper
2038.98,2022-05-23 07:03:35.279591+00:00,Pancakeswap,scraper
2056.19,2022-05-23 07:03:38.841685+00:00,Uniswap,scraper
2038.13,2022-05-23 07:03:45.298808+00:00,Pancakeswap,scraper
2038.13,2022-05-23 07:03:55.315337+00:00,Pancakeswap,scraper
2055.42,2022-05-23 07:03:59.029072+00:00,Uniswap,scraper
2038.13,2022-05-23 07:04:05.329612+00:00,Pancakeswap,scraper
2038.13,2022-05-23 07:04:15.345827+00:00,Pancakeswap,scraper
2055.42,2022-05-23 07:04:19.044142+00:00,Uniswap,scraper
2038.13,2022-05-23 07:04:25.365711+00:00,Pancakeswap,scraper
2038.13,2022-05-23 07:04:35.383189+00:00,Pancakeswap,scraper
2055.42,2022-05-23 07:04:39.065217+00:00,Uniswap,scraper
2037.41,2022-05-23 07:04:45.403210+00:00,Pancakeswap,scraper
2037.53,2022-05-23 07:04:55.419087+00:00,Pancakeswap,scraper
2055.42,2022-05-23 07:04:59.093498+00:00,Uniswap,scraper
