price,date,exchange,source
2765.48,2021-05-21 02:00:00,Uniswap,smart contract
2765.48,2021-05-21 02:00:02,Uniswap,smart contract
2766.32,2021-05-21 02:00:04,Uniswap,smart contract
2766.43,2021-05-21 02:00:47,Uniswap,smart contract
2766.43,2021-05-21 02:00:50,Uniswap,smart contract
2766.53,2021-05-21 02:01:09,Uniswap,smart contract
2766.38,2021-05-21 02:01:11,Uniswap,smart contract
2778.04,2021-05-21 02:01:33,Uniswap,smart contract
2780.18,2021-05-21 02:01:47,Uniswap,smart contract
2780.18,2021-05-21 02:01:54,Uniswap,smart contract
2790.90,2021-05-21 02:02:01,Uniswap,smart contract
2790.57,2021-05-21 02:02:25,Uniswap,smart contract
2790.70,2021-05-21 02:02:26,Uniswap,smart contract
2790.70,2021-05-21 02:02:32,Uniswap,smart contract
2790.70,2021-05-21 02:02:36,Uniswap,smart contract
2790.99,2021-05-21 02:02:48,Uniswap,smart contract
2801.20,2021-05-21 02:02:54,Uniswap,smart contract
2800.81,2021-05-21 02:02:58,Uniswap,smart contract
2800.81,2021-05-21 02:03:08,Uniswap,smart contract
2800.59,2021-05-21 02:03:25,Uniswap,smart contract
2800.59,2021-05-21 02:03:30,Uniswap,smart contract
2800.59,2021-05-21 02:03:42,Uniswap,smart contract
2800.59,2021-05-21 02:03:44,Uniswap,smart contract
2800.59,2021-05-21 02:03:45,Uniswap,smart contract
2800.59,2021-05-21 02:04:05,Uniswap,smart contract
2800.57,2021-05-21 02:04:08,Uniswap,smart contract
2800.57,2021-05-21 02:04:12,Uniswap,smart contract
2800.61,2021-05-21 02:04:42,Uniswap,smart contract
2800.58,2021-05-21 02:05:16,Uniswap,smart contract
2800.05,2021-05-21 02:05:19,Uniswap,smart contract
2800.05,2021-05-21 02:05:20,Uniswap,smart contract
2798.90,2021-05-21 02:05:29,Uniswap,smart contract
2798.78,2021-05-21 02:05:56,Uniswap,smart contract
2798.78,2021-05-21 02:06:02,Uniswap,smart contract
2798.78,2021-05-21 02:06:52,Uniswap,smart contract
2798.78,2021-05-21 02:07:00,Uniswap,smart contract
2800.18,2021-05-21 02:07:04,Uniswap,smart contract
2800.19,2021-05-21 02:07:16,Uniswap,smart contract
2800.19,2021-05-21 02:07:18,Uniswap,smart contract
2798.74,2021-05-21 02:07:22,Uniswap,smart contract
2798.74,2021-05-21 02:07:30,Uniswap,smart contract
2798.53,2021-05-21 02:08:02,Uniswap,smart contract
2798.53,2021-05-21 02:08:07,Uniswap,smart contract
2798.09,2021-05-21 02:08:24,Uniswap,smart contract
2798.10,2021-05-21 02:08:36,Uniswap,smart contract
2798.10,2021-05-21 02:08:45,Uniswap,smart contract
2798.09,2021-05-21 02:08:52,Uniswap,smart contract
2798.34,2021-05-21 02:09:00,Uniswap,smart contract
2798.34,2021-05-21 02:09:42,Uniswap,smart contract
2799.10,2021-05-21 02:10:03,Uniswap,smart contract
2799.10,2021-05-21 02:10:05,Uniswap,smart contract
2799.79,2021-05-21 02:10:15,Uniswap,smart contract
2799.91,2021-05-21 02:10:23,Uniswap,smart contract
2799.70,2021-05-21 02:10:28,Uniswap,smart contract
2799.78,2021-05-21 02:10:44,Uniswap,smart contract
2799.97,2021-05-21 02:10:53,Uniswap,smart contract
2799.97,2021-05-21 02:10:55,Uniswap,smart contract
2799.91,2021-05-21 02:10:57,Uniswap,smart contract
2799.56,2021-05-21 02:11:14,Uniswap,smart contract
2799.56,2021-05-21 02:11:56,Uniswap,smart contract
