price,date,exchange,source
2034.32186191473903,2022-05-23 07:03:10.865666+00:00,Pancakeswap,smart contract
2046.99,2022-05-23 07:03:42.726132+00:00,Uniswap,smart contract
2038.13797688598957,2022-05-23 07:04:37.046833+00:00,Pancakeswap,smart contract
2046.99,2022-05-23 07:04:37.315537+00:00,Uniswap,smart contract
2037.67294825722155,2022-05-23 07:05:04.282157+00:00,Pancakeswap,smart contract
2046.99,2022-05-23 07:05:04.625388+00:00,Uniswap,smart contract
2036.70767461028766,2022-05-23 07:06:01.089567+00:00,Pancakeswap,smart contract
2046.96,2022-05-23 07:06:02.295427+00:00,Uniswap,smart contract
2037.40483314918462,2022-05-23 07:07:04.373529+00:00,Pancakeswap,smart contract
2046.96,2022-05-23 07:07:05.360535+00:00,Uniswap,smart contract
2037.40483314918462,2022-05-23 07:08:16.768252+00:00,Pancakeswap,smart contract
2046.93,2022-05-23 07:08:18.418498+00:00,Uniswap,smart contract
2038.28802156637596,2022-05-23 07:09:34.591454+00:00,Pancakeswap,smart contract
2046.93,2022-05-23 07:09:35.163917+00:00,Uniswap,smart contract
2038.28802156637596,2022-05-23 07:10:12.443959+00:00,Pancakeswap,smart contract
2046.91,2022-05-23 07:10:12.570373+00:00,Uniswap,smart contract
2038.28802156637596,2022-05-23 07:11:07.202060+00:00,Pancakeswap,smart contract
2046.91,2022-05-23 07:11:09.373161+00:00,Uniswap,smart contract
2038.28802156637596,2022-05-23 07:12:26.994043+00:00,Pancakeswap,smart contract
2046.91,2022-05-23 07:12:28.197861+00:00,Uniswap,smart contract
2038.28802156637596,2022-05-23 07:13:20.005004+00:00,Pancakeswap,smart contract
2046.91,2022-05-23 07:13:22.078204+00:00,Uniswap,smart contract
2039.15565431704620,2022-05-23 07:14:04.157351+00:00,Pancakeswap,smart contract
2047.22,2022-05-23 07:14:04.844057+00:00,Uniswap,smart contract
2034.42488583551509,2022-05-23 07:15:00.982767+00:00,Pancakeswap,smart contract
2047.20,2022-05-23 07:15:02.167198+00:00,Uniswap,smart contract
2036.72608629467293,2022-05-23 07:16:58.973213+00:00,Pancakeswap,smart contract
2047.40,2022-05-23 07:16:00.444981+00:00,Uniswap,smart contract
2036.72608629467293,2022-05-23 07:17:01.090528+00:00,Pancakeswap,smart contract
2047.40,2022-05-23 07:17:13.647174+00:00,Uniswap,smart contract
2036.72608629467293,2022-05-23 07:18:02.075551+00:00,Pancakeswap,smart contract
2046.44,2022-05-23 07:18:29.022863+00:00,Uniswap,smart contract
2041.85575811447111,2022-05-23 07:19:58.329066+00:00,Pancakeswap,smart contract
2046.44,2022-05-23 07:19:29.022863+00:00,Uniswap,smart contract
2042.78911415531675,2022-05-23 07:20:10.913501+00:00,Pancakeswap,smart contract
2046.44,2022-05-23 07:20:12.641239+00:00,Uniswap,smart contract
2042.78911415531675,2022-05-23 07:21:20.474232+00:00,Pancakeswap,smart contract
2049.92,2022-05-23 07:21:21.696963+00:00,Uniswap,smart contract
2042.78911415531675,2022-05-23 07:22:10.921942+00:00,Pancakeswap,smart contract
2049.85,2022-05-23 07:22:12.728229+00:00,Uniswap,smart contract
2042.78911415531675,2022-05-23 07:23:01.360106+00:00,Pancakeswap,smart contract
2049.85,2022-05-23 07:23:01.933774+00:00,Uniswap,smart contract
2054.87308361873912,2022-05-23 07:24:38.132465+00:00,Pancakeswap,smart contract
2053.99,2022-05-23 07:24:39.840744+00:00,Uniswap,smart contract
2054.96393842123959,2022-05-23 07:25:07.911936+00:00,Pancakeswap,smart contract
2060.01,2022-05-23 07:25:09.332282+00:00,Uniswap,smart contract
2053.02310694930293,2022-05-23 07:26:00.401279+00:00,Pancakeswap,smart contract
2060.01,2022-05-23 07:26:01.567026+00:00,Uniswap,smart contract
2052.17881194753010,2022-05-23 07:27:20.303198+00:00,Pancakeswap,smart contract
2062.31,2022-05-23 07:27:21.696845+00:00,Uniswap,smart contract
2055.19254749324681,2022-05-23 07:28:10.776304+00:00,Pancakeswap,smart contract
2064.52,2022-05-23 07:28:12.942818+00:00,Uniswap,smart contract
2055.19254749324681,2022-05-23 07:29:22.450505+00:00,Pancakeswap,smart contract
2064.68,2022-05-23 07:29:22.742206+00:00,Uniswap,smart contract
2055.16153764509323,2022-05-23 07:30:11.328461+00:00,Pancakeswap,smart contract
2064.63,2022-05-23 07:30:12.222392+00:00,Uniswap,smart contract
2056.19130087161530,2022-05-23 07:31:31.279539+00:00,Pancakeswap,smart contract
2064.63,2022-05-23 07:31:34.672258+00:00,Uniswap,smart contract
2056.62645633213501,2022-05-23 07:32:19.627800+00:00,Pancakeswap,smart contract
2064.69,2022-05-23 07:32:21.166356+00:00,Uniswap,smart contract
2056.46431314126287,2022-05-23 07:33:31.255754+00:00,Pancakeswap,smart contract
2064.69,2022-05-23 07:33:31.517668+00:00,Uniswap,smart contract
2056.46431314126287,2022-05-23 07:34:28.029317+00:00,Pancakeswap,smart contract
2066.84,2022-05-23 07:34:31.346643+00:00,Uniswap,smart contract
2065.88210979146876,2022-05-23 07:35:07.995917+00:00,Pancakeswap,smart contract
2066.84,2022-05-23 07:35:09.579196+00:00,Uniswap,smart contract
2060.69554015216919,2022-05-23 07:36:04.788541+00:00,Pancakeswap,smart contract
2066.84,2022-05-23 07:36:05.331454+00:00,Uniswap,smart contract
2058.84584127539543,2022-05-23 07:37:35.106425+00:00,Pancakeswap,smart contract
2066.85,2022-05-23 07:37:35.556637+00:00,Uniswap,smart contract
2058.84584127539543,2022-05-23 07:38:40.260032+00:00,Pancakeswap,smart contract
2066.85,2022-05-23 07:38:42.555242+00:00,Uniswap,smart contract
2058.84584127539543,2022-05-23 07:39:39.171385+00:00,Pancakeswap,smart contract
2066.85,2022-05-23 07:39:40.057679+00:00,Uniswap,smart contract
2058.84584127539543,2022-05-23 07:40:19.246402+00:00,Pancakeswap,smart contract
2066.85,2022-05-23 07:40:21.023793+00:00,Uniswap,smart contract
